PatriotsMargin,Prob
-28,0.024048096
-27,0.006012024
-26,0.002004008
-25,0.004008016
-24,0.007014028
-23,0.004008016
-22,0.004008016
-21,0.011022044
-20,0.008016032
-19,0.00501002
-18,0.008016032
-17,0.014028056
-16,0.007014028
-15,0.00501002
-14,0.019038076
-13,0.014028056
-12,0.007014028
-11,0.011022044
-10,0.027054108
-9,0.008016032
-8,0.01503006
-7,0.048096192
-6,0.026052104
-5,0.017034068
-4,0.026052104
-3,0.087174349
-2,0.02004008
-1,0.022044088
0,0
1,0.022044088
2,0.02004008
3,0.092184369
4,0.029058116
5,0.019038076
6,0.03006012
7,0.056112224
8,0.018036072
9,0.01002004
10,0.034068136
11,0.014028056
12,0.008016032
13,0.018036072
14,0.0250501
15,0.007014028
16,0.009018036
17,0.019038076
18,0.011022044
19,0.006012024
20,0.011022044
21,0.01503006
22,0.00501002
23,0.00501002
24,0.01002004
25,0.00501002
26,0.003006012
27,0.008016032
28,0.033066132
